12:58:39 {"user":"GM","info":"insert successfully"} 
12:58:39 {"user":"GM","type":"update","info":"successfully"} 
12:58:39 {"user":"GM","type":"update","info":"successfully"} 
13:15:43 {"user":"GM","type":"insert","error":"Unknown column 'othersx' in 'field list'"} 
13:22:0 {"user":"GM","type":"update","info":"successfully"} 
13:26:2 {"user":"GM","type":"insert","error":"Unknown column 'othersx' in 'field list'"} 
13:27:16 {"user":"GM","type":"insert","error":"Unknown column 'othersx' in 'field list'"} 
13:28:20 {"user":"GM","type":"insert","error":"Unknown column 'othersx' in 'field list'"} 
13:28:43 {"user":"GM","type":"insert","error":"Unknown column 'othersx' in 'field list'"} 
13:28:43 {"user":"GM","type":"insert","error":"Unknown column 'othersx' in 'field list'"} 
13:29:41 {"user":"GM","type":"insert","error":"Unknown column 'othersx' in 'field list'"} 
13:30:2 {"user":"GM","type":"insert","error":"Unknown column 'othersx' in 'field list'"} 
13:30:21 {"user":"GM","type":"insert","error":"Unknown column 'othersx' in 'field list'"} 
13:53:10 {"user":"GM","info":"insert successfully"} 
14:1:43 {"user":"GM","type":"update","error":"Incorrect integer value: 'true' for column 'visitCall' at row 1"} 
14:1:43 {"user":"GM","type":"update","error":"Incorrect integer value: 'true' for column 'visitCall' at row 1"} 
14:1:43 {"user":"GM","type":"update","info":"successfully"} 
14:1:43 {"user":"GM","type":"update","error":"Incorrect integer value: 'true' for column 'visitCall' at row 1"} 
14:1:43 {"user":"GM","type":"update","error":"Incorrect integer value: 'true' for column 'visitCall' at row 1"} 
14:10:10 {"user":"GM","type":"update","error":"Incorrect integer value: 'true' for column 'visitCall' at row 1"} 
14:10:10 {"user":"GM","type":"update","error":"Incorrect integer value: 'true' for column 'visitCall' at row 1"} 
14:10:10 {"user":"GM","type":"update","error":"Incorrect integer value: 'true' for column 'visitCall' at row 1"} 
14:10:10 {"user":"GM","type":"update","error":"Incorrect integer value: 'true' for column 'visitCall' at row 1"} 
14:10:10 {"user":"GM","type":"update","error":"Incorrect integer value: 'true' for column 'visitCall' at row 1"} 
14:10:10 {"user":"GM","type":"update","error":"Incorrect integer value: 'true' for column 'visitCall' at row 1"} 
14:10:46 {"user":"GM","type":"update","error":"Incorrect integer value: 'true' for column 'visitCall' at row 1"} 
14:10:46 {"user":"GM","type":"update","error":"Incorrect integer value: 'true' for column 'visitCall' at row 1"} 
14:10:46 {"user":"GM","type":"update","error":"Incorrect integer value: 'true' for column 'visitCall' at row 1"} 
14:10:46 {"user":"GM","type":"update","error":"Incorrect integer value: 'true' for column 'visitCall' at row 1"} 
14:10:46 {"user":"GM","type":"update","error":"Incorrect integer value: 'true' for column 'visitCall' at row 1"} 
14:10:46 {"user":"GM","type":"update","error":"Incorrect integer value: 'true' for column 'visitCall' at row 1"} 
14:10:53 {"user":"GM","type":"update","error":"Incorrect integer value: 'true' for column 'visitCall' at row 1"} 
14:10:53 {"user":"GM","type":"update","error":"Incorrect integer value: 'true' for column 'visitCall' at row 1"} 
14:10:53 {"user":"GM","type":"update","error":"Incorrect integer value: 'true' for column 'visitCall' at row 1"} 
14:10:53 {"user":"GM","type":"update","error":"Incorrect integer value: 'true' for column 'visitCall' at row 1"} 
14:10:53 {"user":"GM","type":"update","error":"Incorrect integer value: 'true' for column 'visitCall' at row 1"} 
14:10:53 {"user":"GM","type":"update","error":"Incorrect integer value: 'true' for column 'visitCall' at row 1"} 
14:11:17 {"user":"GM","type":"update","error":"Incorrect integer value: 'true' for column 'visitCall' at row 1"} 
14:11:17 {"user":"GM","type":"update","error":"Incorrect integer value: 'true' for column 'visitCall' at row 1"} 
14:11:17 {"user":"GM","type":"update","error":"Incorrect integer value: 'true' for column 'visitCall' at row 1"} 
14:11:17 {"user":"GM","type":"update","error":"Incorrect integer value: 'true' for column 'visitCall' at row 1"} 
14:11:17 {"user":"GM","type":"update","error":"Incorrect integer value: 'true' for column 'visitCall' at row 1"} 
14:11:17 {"user":"GM","type":"update","error":"Incorrect integer value: 'true' for column 'visitCall' at row 1"} 
14:12:52 {"user":"GM","type":"update","info":"successfully"} 
14:13:22 {"user":"GM","type":"update","info":"successfully"} 
14:14:26 {"user":"GM","type":"update","info":"successfully"} 
14:14:26 {"user":"GM","type":"update","info":"successfully"} 
14:28:41 {"user":"GM","type":"update","info":"successfully"} 
14:28:41 {"user":"GM","type":"update","info":"successfully"} 
14:28:41 {"user":"GM","type":"update","info":"successfully"} 
14:28:41 {"user":"GM","type":"update"} 
14:33:35 {"user":"GM","type":"update","info":"successfully"} 
14:33:35 {"user":"GM","type":"update","error":"Incorrect integer value: 'true' for column 'visitAM' at row 1"} 
14:45:17 {"user":"GM","type":"update","info":"successfully"} 
14:45:17 {"user":"GM","type":"update","info":"successfully"} 
14:49:55 {"user":"GM","type":"update","error":"Incorrect integer value: 'true' for column 'siteTourPM' at row 1"} 
14:50:52 {"user":"GM","type":"update","info":"successfully"} 
14:50:52 {"user":"GM","type":"update","info":"successfully"} 
14:52:5 {"user":"GM","type":"update","info":"successfully"} 
14:52:5 {"user":"GM","type":"update","info":"successfully"} 
14:52:52 {"user":"GM","info":"insert successfully"} 
15:4:27 {"user":"GM","type":"update","info":"successfully"} 
15:4:27 {"user":"GM","type":"update","info":"successfully"} 
15:4:27 {"user":"GM","type":"update","info":"successfully"} 
15:4:27 {"user":"GM","type":"update","info":"successfully"} 
15:4:27 {"user":"GM","type":"update","info":"successfully"} 
15:4:27 {"user":"GM","type":"update","info":"successfully"} 
15:4:27 {"user":"GM","type":"update","info":"successfully"} 
15:4:27 {"user":"GM","type":"update","info":"successfully"} 
15:4:27 {"user":"GM","type":"update","info":"successfully"} 
15:11:9 {"user":"GM","type":"update","error":"Unknown column 'othersz' in 'field list'"} 
15:11:9 {"user":"GM","type":"update","error":"Unknown column 'othersz' in 'field list'"} 
15:11:9 {"user":"GM","type":"update","error":"Unknown column 'othersz' in 'field list'"} 
15:11:9 {"user":"GM","type":"update","error":"Unknown column 'othersz' in 'field list'"} 
15:11:9 {"user":"GM","type":"update","error":"Unknown column 'othersz' in 'field list'"} 
15:11:26 {"user":"GM","type":"update","info":"successfully"} 
15:11:26 {"user":"GM","type":"update","info":"successfully"} 
15:11:54 {"user":"GM","type":"update","error":"Unknown column 'xdinner' in 'field list'"} 
15:11:54 {"user":"GM","type":"update","error":"Unknown column 'xdinner' in 'field list'"} 
15:11:54 {"user":"GM","type":"update","error":"Unknown column 'xdinner' in 'field list'"} 
15:31:35 {"user":"GM","type":"update","error":"Unknown column 'xdinner' in 'field list'"} 
15:31:35 {"user":"GM","type":"update","error":"Unknown column 'xdinner' in 'field list'"} 
15:31:35 {"user":"GM","type":"update","error":"Unknown column 'xdinner' in 'field list'"} 
15:31:35 {"user":"GM","type":"update","error":"Unknown column 'xdinner' in 'field list'"} 
15:31:35 {"user":"GM","type":"update","error":"Unknown column 'xdinner' in 'field list'"} 
15:31:35 {"user":"GM","type":"update","error":"Unknown column 'xdinner' in 'field list'"} 
15:42:32 {"user":"GM","type":"update","info":"successfully"} 
15:42:32 {"user":"GM","type":"update"} 
15:42:32 {"user":"GM","type":"update"} 
15:42:32 {"user":"GM","type":"update"} 
15:42:32 {"user":"GM","type":"update"} 
15:42:32 {"user":"GM","type":"update"} 
15:58:38 {"user":"GM","type":"update","info":"successfully"} 
15:58:38 {"user":"GM","type":"update","info":"successfully"} 
15:58:38 {"user":"GM","type":"update","info":"successfully"} 
15:58:38 {"user":"GM","type":"update","info":"successfully"} 
15:58:38 {"user":"GM","type":"update","info":"successfully"} 
16:7:42 {"user":"GM","type":"update","info":"successfully"} 
16:7:42 {"user":"GM","type":"update","info":"successfully"} 
16:7:42 {"user":"GM","type":"update","info":"successfully"} 
16:7:42 {"user":"GM","type":"update","info":"successfully"} 
16:7:42 {"user":"GM","type":"update","info":"successfully"} 
